Referee,Team,Games,Total fouls,Shooting,Personal,Technical
Andy Nagy,LAL,17,13.705882352941176,7.882352941176471,3.4705882352941178,0.058823529411764705
Andy Nagy,MEM,15,11.866666666666667,6.466666666666667,3.6666666666666665,0.26666666666666666
Andy Nagy,MIA,16,11.8125,6.5625,3.125,0.125
Andy Nagy,MIL,10,13.2,7.9,3.4,0.5
Andy Nagy,MIN,17,13.705882352941176,8.117647058823529,3.6470588235294117,0.23529411764705882
Andy Nagy,NOP,16,11.6875,7.4375,2.9375,0
Andy Nagy,NYK,11,11.363636363636363,6.363636363636363,2.8181818181818183,0
Andy Nagy,OKC,18,13.222222222222221,7.777777777777778,3.5555555555555554,0.05555555555555555
Andy Nagy,ORL,9,11.666666666666666,6.555555555555555,2.888888888888889,0.3333333333333333
Andy Nagy,PHI,14,12.857142857142858,7,3.9285714285714284,0.14285714285714285
Andy Nagy,PHX,9,12.11111111111111,7.222222222222222,3.3333333333333335,0.1111111111111111
Andy Nagy,POR,13,13.307692307692308,8.153846153846153,2.769230769230769,0.15384615384615385
Andy Nagy,SAC,8,12,6.625,3.625,0.125
Andy Nagy,SAS,11,11.272727272727273,7.090909090909091,2.4545454545454546,0.2727272727272727
Andy Nagy,TOR,18,12.166666666666666,7.166666666666667,3.111111111111111,0.1111111111111111
Andy Nagy,UTA,8,11.875,6.625,3,0.375
Andy Nagy,WAS,15,12.333333333333334,7.733333333333333,2.7333333333333334,0.2
Ashley Moyer-Gleich,ATL,16,11.0625,6.0625,2.8125,0.25
Ashley Moyer-Gleich,BKN,17,10.235294117647058,6.0588235294117645,2.7058823529411766,0.11764705882352941
Ashley Moyer-Gleich,BOS,16,11.25,6.1875,3.25,0
Ashley Moyer-Gleich,CHA,13,9.076923076923077,5.461538461538462,2.5384615384615383,0
Ashley Moyer-Gleich,CHI,21,11.523809523809524,6.428571428571429,3.619047619047619,0.047619047619047616
Ashley Moyer-Gleich,CLE,18,11.38888888888889,6.5,3.111111111111111,0.16666666666666666
Ashley Moyer-Gleich,DAL,16,11.9375,7.0625,2.8125,0.3125
Ashley Moyer-Gleich,DEN,12,10.833333333333334,6.5,3.1666666666666665,0.08333333333333333
Ashley Moyer-Gleich,DET,12,12.75,7.583333333333333,3.6666666666666665,0.3333333333333333
Ashley Moyer-Gleich,GSW,12,9.583333333333334,6.083333333333333,2.3333333333333335,0
Ashley Moyer-Gleich,HOU,16,12.375,7.6875,3.1875,0.1875
Ashley Moyer-Gleich,IND,19,10.578947368421053,6,2.5789473684210527,0.10526315789473684
Ashley Moyer-Gleich,LAC,13,13.615384615384615,7.538461538461538,3.4615384615384617,0.07692307692307693
Ashley Moyer-Gleich,LAL,11,9.909090909090908,6.818181818181818,2.090909090909091,0
Ashley Moyer-Gleich,MEM,15,10.066666666666666,5.8,2.4,0.2
Ashley Moyer-Gleich,MIA,14,11.285714285714286,7.071428571428571,2.2857142857142856,0.14285714285714285
Ashley Moyer-Gleich,MIL,13,10.076923076923077,5.6923076923076925,3,0.07692307692307693
Ashley Moyer-Gleich,MIN,13,11.538461538461538,6.461538461538462,3.076923076923077,0.07692307692307693
Ashley Moyer-Gleich,NOP,14,11.5,6.785714285714286,2.857142857142857,0.14285714285714285
Ashley Moyer-Gleich,NYK,21,10.904761904761905,6.809523809523809,2.7142857142857144,0.14285714285714285
Ashley Moyer-Gleich,OKC,12,9.583333333333334,6.083333333333333,2.4166666666666665,0.08333333333333333
Ashley Moyer-Gleich,ORL,13,11,6.461538461538462,3.076923076923077,0.3076923076923077
Ashley Moyer-Gleich,PHI,15,11.2,6.466666666666667,2.8,0.3333333333333333
Ashley Moyer-Gleich,PHX,11,12.181818181818182,5.909090909090909,4.2727272727272725,0
Ashley Moyer-Gleich,POR,10,11.3,6.5,2.5,0.1
Ashley Moyer-Gleich,SAC,14,9.714285714285714,6.142857142857143,2.5,0
Ashley Moyer-Gleich,SAS,20,11.55,7.45,2.85,0.05
Ashley Moyer-Gleich,TOR,12,11.416666666666666,6.083333333333333,3.25,0.4166666666666667
Ashley Moyer-Gleich,UTA,11,11.181818181818182,6.545454545454546,3.5454545454545454,0.09090909090909091
Ashley Moyer-Gleich,WAS,18,11.88888888888889,7.055555555555555,2.888888888888889,0.1111111111111111
Ben Taylor,ATL,30,13.666666666666666,6.033333333333333,4.133333333333334,0.5333333333333333
